feature_id, product_id, feature, value
1, 99, application, open-source
2, 99, card, open-source
3, 99, matrix, virtual
4, 98, circuit, 1080p
5, 98, protocol, back-end
6, 98, matrix, optical
7, 97, hard drive, digital
8, 97, matrix, redundant
9, 97, card, solid state
10, 96, protocol, neural
11, 96, hard drive, back-end
12, 96, panel, online
13, 95, matrix, solid state
14, 95, program, back-end
15, 95, hard drive, open-source
16, 94, firewall, digital
17, 94, panel, mobile
18, 94, panel, cross-platform
19, 93, microchip, haptic
20, 93, hard drive, auxiliary
21, 93, system, redundant
22, 92, card, online
23, 92, transmitter, back-end
24, 92, firewall, mobile
25, 91, bandwidth, primary
26, 91, interface, mobile
27, 91, array, virtual
28, 90, transmitter, 1080p
29, 90, hard drive, haptic
30, 90, panel, open-source
31, 89, sensor, mobile
32, 89, feed, mobile
33, 89, alarm, auxiliary
34, 88, pixel, multi-byte
35, 88, pixel, neural
36, 88, hard drive, neural
37, 87, array, redundant
38, 87, system, optical
39, 87, panel, bluetooth
40, 86, feed, solid state
41, 86, interface, online
42, 86, card, mobile
43, 85, program, back-end
44, 85, bus, optical
45, 85, matrix, 1080p
46, 84, transmitter, online
47, 84, array, digital
48, 84, port, primary
49, 83, program, digital
50, 83, circuit, open-source
51, 83, feed, cross-platform
52, 82, microchip, cross-platform
53, 82, system, solid state
54, 82, monitor, wireless
55, 81, microchip, auxiliary
56, 81, capacitor, auxiliary
57, 81, interface, mobile
58, 80, panel, virtual
59, 80, program, multi-byte
60, 80, sensor, back-end
61, 79, driver, redundant
62, 79, port, optical
63, 79, monitor, back-end
64, 78, alarm, back-end
65, 78, feed, solid state
66, 78, program, primary
67, 77, driver, online
68, 77, interface, solid state
69, 77, program, solid state
70, 76, bandwidth, neural
71, 76, panel, back-end
72, 76, matrix, solid state
73, 75, feed, optical
74, 75, driver, mobile
75, 75, circuit, mobile
76, 74, system, mobile
77, 74, transmitter, solid state
78, 74, card, multi-byte
79, 73, microchip, bluetooth
80, 73, protocol, digital
81, 73, driver, online
82, 72, pixel, open-source
83, 72, alarm, cross-platform
84, 72, transmitter, neural
85, 71, application, 1080p
86, 71, transmitter, online
87, 71, firewall, redundant
88, 70, bus, neural
89, 70, circuit, cross-platform
90, 70, interface, digital
91, 69, hard drive, 1080p
92, 69, port, redundant
93, 69, monitor, 1080p
94, 68, matrix, auxiliary
95, 68, bus, virtual
96, 68, monitor, open-source
97, 67, application, wireless
98, 67, system, neural
